posicion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.27512,7,0,4,0
2,0.27512,7,0,4,0
3,0.265018,6,0,5,0
4,0.246097,8,0,5,0
5,0.246097,8,0,5,0
6,0.246097,8,0,5,0
7,0.238779,7,0,6,0
8,0.238779,7,0,6,0
9,0.238779,7,0,6,0
10,0.234785,6,0,7,0
