posicion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.518725,4,0,7,0
2,0.518725,4,0,7,0
3,0.518725,4,0,7,0
4,0.518725,4,0,7,0
5,0.496921,5,0,6,0
6,0.496921,5,0,6,0
7,0.496921,5,0,6,0
8,0.496921,5,0,6,0
9,0.496921,5,0,6,0
10,0.496921,5,0,6,0
