generacion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.29933196,9,8,28,0
2,0.42512454,7,0,15,0
3,0.46925612,6,0,7,0
4,0.46925612,6,0,7,0
5,0.46925612,6,0,7,0
6,0.46936172,7,0,4,0
7,0.48088699,6,0,5,0
8,0.49692063,5,0,6,0
9,0.49692063,5,0,6,0
10,0.49692063,5,0,6,0
11,0.51872532,4,0,7,0
12,0.51872532,4,0,7,0
