posicion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.316023,4,0,10,0
2,0.316023,4,0,10,0
3,0.316023,4,0,10,0
4,0.316023,4,0,10,0
5,0.316023,4,0,10,0
6,0.313116,4,0,11,0
7,0.313116,4,0,11,0
8,0.313116,4,0,11,0
9,0.313116,4,0,11,0
10,0.313116,4,0,11,0
