generacion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.22106926,7,0,16,1
2,0.25348047,6,0,14,0
3,0.25348047,6,0,14,0
4,0.25955884,6,0,11,0
5,0.27622871,5,0,14,0
6,0.27622871,5,0,14,0
7,0.28838241,5,0,9,0
8,0.2981217,4,0,11,1
9,0.31311613,4,0,11,0
10,0.31602278,4,0,10,0
11,0.31602278,4,0,10,0
12,0.31602278,4,0,10,0
