posicion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.440098,6,0,16,0
2,0.434053,6,0,19,0
3,0.428921,6,0,22,0
4,0.428921,6,0,22,0
5,0.428921,6,0,22,0
6,0.428921,6,0,22,0
7,0.427466,7,0,14,0
8,0.427466,7,0,14,0
9,0.418952,7,0,18,0
10,0.418952,7,0,18,0
