generacion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.31280146,8,8,24,0
2,0.40274633,8,0,19,0
3,0.40274633,8,0,19,0
4,0.40637394,8,0,17,0
5,0.41375736,7,0,21,0
6,0.41895211,7,0,18,0
7,0.42892063,6,0,22,0
8,0.44009822,6,0,16,0
