generacion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.15056274,7,0,16,1
2,0.21480273,7,0,8,0
3,0.21480273,7,0,8,0
4,0.21480273,7,0,8,0
5,0.26501829,6,0,5,0
6,0.26501829,6,0,5,0
7,0.26501829,6,0,5,0
8,0.29191112,8,0,3,0
9,0.29191112,8,0,3,0
10,0.29191112,8,0,3,0
11,0.29191112,8,0,3,0
12,0.29191112,8,0,3,0
