posicion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.291911,8,0,3,0
2,0.291911,8,0,3,0
3,0.291911,8,0,3,0
4,0.291911,8,0,3,0
5,0.291911,8,0,3,0
6,0.291911,8,0,3,0
7,0.291911,8,0,3,0
8,0.291911,8,0,3,0
9,0.291911,8,0,3,0
10,0.291911,8,0,3,0
