posicion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.035815,45,28,16,0
2,0.035815,45,28,16,0
3,0.035815,45,28,16,0
4,0.035815,45,28,16,0
5,0.035815,45,28,16,0
6,0.035815,45,28,16,0
7,0.035815,45,28,16,0
8,0.035815,45,28,16,0
9,0.035815,45,28,16,0
10,0.035815,45,28,16,0
