generacion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.21616373,7,0,20,1
2,0.22196064,8,0,13,0
3,0.2277185,8,0,10,0
4,0.23172299,6,0,21,1
5,0.23969343,6,0,15,1
6,0.25534446,6,0,13,0
7,0.25534446,6,0,13,0
8,0.25955884,6,0,11,0
