posicion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.259559,6,0,11,0
2,0.257362,6,0,12,0
3,0.257362,6,0,12,0
4,0.255344,6,0,13,0
5,0.255344,6,0,13,0
6,0.255344,6,0,13,0
7,0.25348,6,0,14,0
8,0.241342,6,0,14,1
9,0.239693,6,0,15,1
10,0.239693,6,0,15,1
