generacion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.1419675,8,0,17,1
2,0.21480273,7,0,8,0
3,0.21480273,7,0,8,0
4,0.21480273,7,0,8,0
5,0.21480273,7,0,8,0
6,0.23877857,7,0,6,0
7,0.2751205,7,0,4,0
8,0.2751205,7,0,4,0
